tariff_regime,count,avg_utilization,avg_dynamic_tariff,revenue_fixed_sum,revenue_dynamic_sum,revenue_gain_pct
Baseline,39096,0.42778242469673683,15.0,250868.72513915435,250868.72513915435,0.0
Discount,47154,0.17963235644750594,10.5,127055.76203888543,96943.54643566959,-23.699999999999992
Surge,30,0.8178571428571428,22.5,368.0357142857143,469.24553571428567,27.499999999999993
