Dataset,Records,Stations,Date_Start,Date_End,Key_Features,Missing_Handled
ACN-Data,14848,54,2018-04-25,2018-12-16,"kWh, session_duration, idle_time, avg_power, revenue_fixed",Dropped 0-kWh and invalid duration sessions
ST-EVCDP,432000,247,2022-06-19,2022-08-17,"utilization, volume, price, congestion, offpeak, revenue_proxy",Forward-fill + station quality filter (>10% missing dropped)
